Brand,Date,District,Engine_capacity,Engine_power,From_who,Fuel_type,Gear_type,Kilometer,Model,Model_year,Price,Title,Variant
Chevrolet,24/01/2021,İzmit/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,122000,Aveo,2011,96750,YENİ KASA..DEĞİŞENSİZ..MÜKEMMEL TEMİZLİKTE Chevrolet Aveo 1.4 LTZ,1.4 LTZ
Chevrolet,24/01/2021,Akşehir/Kuruçay,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,330000,Captiva,2007,122000,ÖRSLER DEN ORJİNAL 4X4 CAPTİVA 7 KİŞİLİK HİGH Chevrolet Captiva 2.0 D LT High,2.0 D LT High
Fiat,15/02/2021,Merkez/Merkez,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,223000,Linea,2013,85000,2013 BOYASIZ HATASIZ HASAR KAYITSIZ EURO5 95HP YENİ GÖRÜNÜM Fiat Linea 1.3 Multijet Pop,1.3 Multijet Pop
BMW,15/02/2021,İzmit/Merez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,79750,3 Serisi,2014,299999,0 99 KREDİ VEYA SENETLİ SATIŞ ARACINIZI ÇEKİCİ İLE GÖNDERELİM BMW 3 Serisi 320i ED Standart,320i ED Standart
BMW,15/02/2021,İzmit/Merez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,126147,3 Serisi,2014,264999,0 99 KREDİ VEYA SENETLİ SATIŞ ARACINIZI ÇEKİCİ İLE GÖNDERELİM BMW 3 Serisi 320i ED Standart,320i ED Standart
BMW,15/02/2021,,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,156000,5 Serisi,2016,434750,Mega Otomotiv. 2016 BMW 5.20İ   EXECUTİVE PLUS   NBT   BOYASIZ BMW 5 Serisi 520i Executive Plus,520i Executive Plus
BMW,15/02/2021,,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,225000,3 Serisi,2011,204750,Mega Otomotiv. 2011 BMW 3.20d 184 Hp   M SPORT   BOYASIZ   XENON BMW 3 Serisi 320d M Sport,320d M Sport
BMW,15/02/2021,Merkez/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,90000,3 Serisi,2014,321000,BMW 3.16 İ MODERN LİNE HATASIZ BOYASIZ ÇİZİKSİZ 90.000 KM FULL BMW 3 Serisi 316i Modern Line,316i Modern Line
BMW,15/02/2021,,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,258000,3 Serisi,2011,174750,2011 MODEL BMW 320d 184HP OTOMOTİK COMFORT PLUS EKRANLI FULL   BMW 3 Serisi 320d Edition Comfort,320d Edition Comfort
Chevrolet,13/01/2021,Tarsus/Akşemsettin,1301-1600 cc,100 BG ve altı,Sahibinden,Benzin/LPG,Düz Vites,133500,Lacetti,2009,69000,TERTEMIZ LACETTI,1.4 16V WTCC
Chevrolet,16/01/2021,Çankaya/Çankaya,1801-2000 cc,151-175 BG,Sahibinden,Dizel,Otomatik Vites,160000,Captiva,2012,185500,2012 CAPTİVA LTZ YENI KASA 7 KİŞİLİK BAKIMLI FULL,2.0 D LTZ
Fiat,15/02/2021,Şehitkamil/Merve,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,176000,Egea,2017,110500,2017MD FİAT EGEA EASY PAKET GÖRÜLMEYE DEGER ARAÇ HATASIZ... Fiat Egea 1.3 Multijet Easy,1.3 Multijet Easy
Fiat,15/02/2021,Seyhan/Yeşiloba,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,140000,Linea,2016,92850,2016 LİNEA 1.3 MUTİJET POP Fiat Linea 1.3 Multijet Pop,1.3 Multijet Pop
Fiat,15/02/2021,Akyurt/Akyurt,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,90600,Linea,2012,110950,2012 LİNEA 1.3 MULTIJET OTOMATİK HATASIZ BOYASIZ 90 BİN KM     Fiat Linea 1.3 Multijet Dynamic Plus,1.3 Multijet Dynamic Plus
Fiat,15/02/2021,Merkez/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,195000,Marea,2001,47500,2001 MODEL MAREA 1.6 16 VALF DEĞİŞENSİZ HASAR KAYITSIZ TERTEMİZ Fiat Marea 1.6 SX,1.6 SX
BMW,15/02/2021,Kadıköy/Göztepe,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,68275,Diğer,2018,895000,2018 520D XDRIVE EXECUTIVE M SPORT HARMAN NEXT100 VAKUM HATASIZ BMW 5 Serisi 520d xDrive Executive M Sport,Diğer
